"id";"lavNumber";"name";"type";"result";"tier";"officialDistanceM";"officialName";"officialCandidateCount";"nameScore";"distanceGapM";"reason"
"1-260-11-jeetze-von-dorfstrae-im-amt";"1-260-11";"Jeetze von Dorfstraße im Amt";"Fließgewässer";"review";"flow-review";"0.7";"";"14";"0";"6.4";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"1-260-12-alte-badeanstalt-bei-jahrstedt";"1-260-12";"Alte Badeanstalt bei Jahrstedt";"See";"review";"wide-standing-review";"930.3";"";"2";"0";"77.8";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"1-260-13-dorfteich-steimke";"1-260-13";"Dorfteich Steimke";"Teich";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"1-260-14-ohre-in-steimke";"1-260-14";"Ohre in Steimke";"Fließgewässer";"review";"wide-flow-review";"743.5";"";"7";"0";"94.2";"Erweiterte amtliche Suche liefert keinen ausreichend eindeutigen Fließgewässer-Treffer."
"1-260-16-ehemalige-klarteiche-in-kusey";"1-260-16";"ehemalige Klärteiche in Kusey";"Teich";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"1-260-17-radestucken-neuekrug";"1-260-17";"Radestücken Neuekrug";"See";"review";"wide-standing-review";"393";"";"1";"0";"9999";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"1-260-19-groe-rothe-neuferchau";"1-260-19";"Große Röthe Neuferchau";"See";"review";"wide-standing-review";"513.3";"";"1";"0";"9999";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"1-260-20-untere-milde-cheinitz";"1-260-20";"Untere Milde Cheinitz";"Fließgewässer";"review";"flow-review";"22.1";"";"5";"0";"23.9";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"1-260-21-brookbuschteich-immekath";"1-260-21";"Brookbuschteich Immekath";"Teich";"review";"wide-standing-review";"664";"";"1";"0";"9999";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"1-380-01-plattensee-bei-winterfeld";"1-380-01";"Plattensee bei Winterfeld";"See";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"1-380-03-1-tonstich-in-den-beekwiesen";"1-380-03";"1. Tonstich in den Beekwiesen";"See";"review";"wide-standing-review";"513";"Pfefferteich";"2";"0";"456.6";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"1-380-05-teich-in-langenapel";"1-380-05";"Teich in Langenapel";"Teich";"review";"standing-review";"5";"";"3";"0";"16.8";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"2-330-24-der-haken-am-hausberg-bei";"2-330-24";"Der Haken am Hausberg bei";"See";"review";"standing-review";"163.5";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"2-330-25-schonberger-baggerloch";"2-330-25";"Schönberger Baggerloch";"See";"review";"standing-review";"21.7";"";"2";"0";"52.4";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"2-330-29-bodenentnahmestelle-losenrade-1";"2-330-29";"Bodenentnahmestelle Losenrade 1";"Fließgewässer";"review";"flow-review";"1.5";"";"4";"0";"4.2";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"2-330-31-baggersee-feldneuendorf";"2-330-31";"Baggersee Feldneuendorf";"See";"review";"wide-standing-review";"541.9";"";"4";"0";"46.4";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"2-334-03-wasserkuhle-langes-loch";"2-334-03";"Wasserkuhle Langes Loch";"See";"review";"standing-review";"38.7";"";"3";"0";"117.4";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"2-334-05-kiesgrube-schwimmbad-bei";"2-334-05";"Kiesgrube Schwimmbad bei";"Kiesgrube";"review";"standing-review";"163.5";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"2-334-06-volkes-locher-in-rabel";"2-334-06";"Völkes Löcher in Räbel";"See";"review";"standing-review";"17.1";"";"3";"0";"67.7";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"2-420-01-kohnsee-kladen";"2-420-01";"Köhnsee Kläden";"See";"review";"wide-standing-review";"465.3";"";"3";"0";"23.7";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"2-420-02-schludenlanke-elbnebengewasser";"2-420-02";"Schlüdenlanke (Elbnebengewässer)";"See";"review";"wide-standing-review";"586.9";"";"3";"0";"129.3";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"2-420-05-kiesgrube-schernikau";"2-420-05";"Kiesgrube Schernikau";"Kiesgrube";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"2-420-07-ziegeleiteich-charlottenhof-bei";"2-420-07";"Ziegeleiteich Charlottenhof bei";"Teich";"review";"standing-review";"163.5";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"2-420-09-uchte-von-strae-tornau";"2-420-09";"Uchte von Straße Tornau-";"See";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"2-420-11-fieber-in-stendal";"2-420-11";"Fieber in Stendal";"See";"review";"standing-review";"188.6";"Stadtsee";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"2-421-03-gr-und-kl-parkteich-in-tangerhutte";"2-421-03";"Gr. und Kl. Parkteich in Tangerhütte";"Teich";"review";"standing-review";"82.9";"";"2";"0";"30.4";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"2-421-07-lehmkuhle-in-cobbel";"2-421-07";"Lehmkuhle in Cobbel";"See";"review";"wide-standing-review";"699.3";"";"1";"0";"9999";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"2-421-09-winkelwiesenteich-uchtdorf";"2-421-09";"Winkelwiesenteich Uchtdorf";"Teich";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"2-422-02-altes-kiesloch-bei-tangermunde";"2-422-02";"Altes Kiesloch bei Tangermünde";"Kiesgrube";"review";"standing-review";"105.1";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"2-422-03-neues-kiesloch-bei-tangermunde";"2-422-03";"Neues Kiesloch bei Tangermünde";"Kiesgrube";"review";"standing-review";"105.1";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"2-422-04-hartsteinwerke-bei-tangermunde";"2-422-04";"Hartsteinwerke bei Tangermünde";"See";"review";"standing-review";"105.1";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"2-422-13-bolsdorfer-tanger";"2-422-13";"Bölsdorfer Tanger";"See";"review";"standing-review";"382";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"2-422-14-hafenbecken-tangermunde";"2-422-14";"Hafenbecken Tangermünde";"See";"review";"standing-review";"105.1";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"2-423-02-bucher-kl-lanke";"2-423-02";"Bucher kl. Lanke";"See";"review";"standing-review";"187";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"2-423-03-bucher-lanke";"2-423-03";"Bucher Lanke";"See";"review";"standing-review";"187";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"2-426-01-jaeneckes-teiche-bei-stendal";"2-426-01";"Jaeneckes Teiche bei Stendal";"Teich";"review";"standing-review";"188.6";"Stadtsee";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"3-200-01-sieben-insel-teich-in-flechtingen";"3-200-01";"Sieben-Insel-Teich in Flechtingen";"Teich";"review";"standing-review";"35.8";"Schloßteich";"3";"0";"205.5";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"3-200-02-holzmuhlenteich-in-flechtingen";"3-200-02";"Holzmühlenteich in Flechtingen";"Teich";"review";"standing-review";"35.8";"Schloßteich";"3";"0";"205.5";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"3-200-03-muhlenteich-flechtingen";"3-200-03";"Mühlenteich Flechtingen";"Teich";"review";"standing-review";"35.8";"Schloßteich";"3";"0";"205.5";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"3-200-04-schloteich-in-flechtingen";"3-200-04";"Schloßteich in Flechtingen";"Teich";"review";"standing-review";"101.8";"Schloßteich";"4";"0.444";"67.2";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"3-200-06-muhlenteich-flechtingen";"3-200-06";"Mühlenteich Flechtingen";"Teich";"review";"standing-review";"35.8";"Schloßteich";"3";"0";"205.5";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"3-200-09-nachtwiese-bei-bebertal";"3-200-09";"Nachtwiese bei Bebertal";"See";"review";"wide-standing-review";"426.6";"";"2";"0";"46.8";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"3-200-10-haidteich-bei-bebertal";"3-200-10";"Haidteich bei Bebertal";"Teich";"review";"wide-standing-review";"426.6";"";"2";"0";"46.8";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"3-200-11-steinbruche-nordhusen";"3-200-11";"Steinbrüche Nordhusen";"See";"review";"standing-review";"301.9";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"3-200-13-hofteich-bodendorf";"3-200-13";"Hofteich Bodendorf";"Fließgewässer";"review";"flow-review";"11.1";"";"4";"0";"1.4";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"3-200-16-neuer-teich-in-bebertal";"3-200-16";"Neuer Teich in Bebertal";"Teich";"review";"wide-standing-review";"426.6";"";"2";"0";"46.8";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"3-200-30-wiemeckenbruch-bei-belsdorf";"3-200-30";"Wiemeckenbruch bei Belsdorf";"See";"review";"wide-standing-review";"874.6";"";"1";"0";"9999";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"3-200-37-schafbade-bei-erxleben";"3-200-37";"Schafbade bei Erxleben";"See";"review";"standing-review";"186.1";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"3-200-40-silbersee-bei-calvorde";"3-200-40";"Silbersee bei Calvörde";"See";"review";"wide-standing-review";"697.5";"";"1";"0";"9999";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"3-200-45-beber-von-einmundung-der-rie";"3-200-45";"Beber von Einmündung der Rie";"See";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"3-200-46-wanneweh-von-einmundung-des";"3-200-46";"Wanneweh von Einmündung des";"See";"review";"standing-review";"42.2";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"3-200-47-markgrafenteich-bei-bebertal";"3-200-47";"Markgrafenteich bei Bebertal";"Teich";"review";"wide-standing-review";"426.6";"";"2";"0";"46.8";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"3-200-48-papenteich-bei-emden";"3-200-48";"Papenteich bei Emden";"Teich";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"3-200-52-regenruckhaltebecken-in-hermsdorf";"3-200-52";"Regenrückhaltebecken in Hermsdorf";"See";"review";"wide-standing-review";"556.9";"";"1";"0";"9999";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"4-130-34-flickschuhteich-burg";"4-130-34";"Flickschuhteich Burg";"Teich";"review";"standing-review";"295.1";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"4-170-06-kiesgrube-brettiner-chaussee-ein";"4-170-06";"Kiesgrube Brettiner Chaussee Ein-";"Kiesgrube";"review";"wide-standing-review";"593.9";"";"1";"0";"9999";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"4-170-13-fiener-hauptvorfluter-vom-wehr";"4-170-13";"Fiener Hauptvorfluter vom Wehr";"See";"review";"standing-review";"191.2";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"4-170-15-schlagenthiner-stremme-vom-rodorfer-a-b-bl-h-pl-s-7-00-altkanal-bis-zur-hauptstremme";"4-170-15";"Schlagenthiner Stremme vom Roßdorfer A, B, Bl, H, Pl, S 7,00 Altkanal bis zur Hauptstremme";"Fließgewässer";"review";"flow-review";"6";"";"7";"0";"21.8";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"4-170-16-elbe-havel-kanal-von-km-360-bis-364-5-a-b-bl-h-k-71-92-brucke-b1-ortsausgang-genthin-und";"4-170-16";"Elbe-Havel-Kanal von km 360 bis 364, 5 A, B, Bl, H, K, 71,92 (Brücke B1 Ortsausgang Genthin) und";"Fließgewässer";"review";"flow-review";"0.1";"";"10";"0";"53.3";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"4-170-17-2-teiche-im-parchener-park";"4-170-17";"2 Teiche im Parchener Park";"Teich";"review";"standing-review";"229.1";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"4-171-04-kiesgrube-an-der-mts-in-parey";"4-171-04";"Kiesgrube an der MTS in Parey";"Kiesgrube";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"4-171-14-stromelbe-von-km-372-4";"4-171-14";"Stromelbe von km 372,4";"Fließgewässer";"review";"flow-review";"103";"";"5";"0";"136.4";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"4-171-16-zerbener-altarm-am";"4-171-16";"Zerbener Altarm am";"See";"review";"standing-review";"202.7";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"4-171-18-waldmuhlenlanke-bei-parey";"4-171-18";"Waldmühlenlanke bei Parey";"See";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"4-171-19-pappelloch-bei-parey";"4-171-19";"Pappelloch bei Parey";"See";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"4-171-20-wolfsloch-1-und-2-bei-parey";"4-171-20";"Wolfsloch 1 und 2 bei Parey";"See";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"4-171-21-erdegraben-bei-parey";"4-171-21";"Erdegraben bei Parey";"Fließgewässer";"review";"flow-review";"418.1";"";"1";"0";"9999";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"4-171-22-hemslake-bei-parey";"4-171-22";"Hemslake bei Parey";"See";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"4-171-25-groes-wasserloch-parey-kuhn-s-loch";"4-171-25";"Großes Wasserloch Parey (Kühn´s Loch)";"See";"review";"standing-review";"146.7";"Kühnes Loch";"3";"0.167";"48.3";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"4-171-27-herrensee-parey";"4-171-27";"Herrensee Parey";"See";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"4-172-01-elbe-havel-kanal-von-km-364-5";"4-172-01";"Elbe-Havel-Kanal von km 364,5";"Fließgewässer";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"4-173-02-elbe-havel-kanal-von-km-353-km-360";"4-173-02";"Elbe-Havel-Kanal von km 353 - km 360";"Fließgewässer";"review";"flow-review";"98.5";"";"3";"0";"7.8";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"4-490-03-schloteich-und-2-nebenteiche-in";"4-490-03";"Schloßteich und 2 Nebenteiche in";"Teich";"review";"wide-standing-review";"699.8";"";"2";"0";"27.8";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"4-491-02-griebensee-bei-prodel";"4-491-02";"Griebensee bei Prödel";"See";"review";"wide-standing-review";"571.8";"";"1";"0";"9999";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"4-492-03-kleiner-teich-bei-dalchau";"4-492-03";"Kleiner Teich bei Dalchau";"Teich";"review";"wide-standing-review";"483";"";"2";"0";"58";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"4-492-04-teich-in-gobel";"4-492-04";"Teich in Göbel";"Teich";"review";"standing-review";"46";"";"2";"0";"18.5";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"5-101-01-kiesgrube-zwischen-aschersleben";"5-101-01";"Kiesgrube zwischen Aschersleben";"Kiesgrube";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"5-190-01-krummer-teich-bei-dingelstedt";"5-190-01";"Krummer Teich bei Dingelstedt";"Teich";"review";"wide-standing-review";"417.9";"Schusterteich";"2";"0";"22.2";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"5-190-08-halberstadter-see-ii";"5-190-08";"Halberstädter See II";"See";"review";"standing-review";"244.8";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"5-191-01-fischteich-osterwieck";"5-191-01";"Fischteich Osterwieck";"Teich";"review";"standing-review";"40.4";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"5-191-03-turmteich-eilenstedt";"5-191-03";"Turmteich Eilenstedt";"Teich";"review";"standing-review";"37.7";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"5-340-01-erichsburger-teich-bei-friedrichsbrunn";"5-340-01";"Erichsburger Teich bei Friedrichsbrunn";"Teich";"review";"standing-review";"305.1";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"5-340-02-bergrat-muller-teich-bei-gernrode";"5-340-02";"Bergrat-Müller Teich bei Gernrode";"Teich";"review";"wide-standing-review";"593.1";"Hagenteich";"3";"0";"135.8";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"5-340-03-neuer-teich-bei-gernrode";"5-340-03";"Neuer Teich bei Gernrode";"Teich";"review";"wide-standing-review";"593.1";"Hagenteich";"3";"0";"135.8";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"5-340-06-hauptseegraben-von-kreisgrenze";"5-340-06";"Hauptseegraben von Kreisgrenze";"Fließgewässer";"review";"flow-review";"120";"";"3";"0";"169.7";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"5-340-11-kleiner-siebersteinsteich-bei-ballenstedt-b-h-k-pl-s-z-1-80";"5-340-11";"Kleiner Siebersteinsteich bei Ballenstedt B, H, K, Pl, S, Z 1,80";"Teich";"review";"wide-standing-review";"448.2";"Neuer Teich";"3";"0";"356.2";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"5-340-12-gondelteich-in-friedrichsbrunn";"5-340-12";"Gondelteich in Friedrichsbrunn";"Teich";"review";"standing-review";"305.1";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"5-340-13-selke-von-kreisgrenze";"5-340-13";"Selke von Kreisgrenze";"Fließgewässer";"review";"flow-review";"0.3";"";"3";"0";"3.7";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"5-340-14-gondelteich-thale";"5-340-14";"Gondelteich Thale";"Teich";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"5-340-15-glockenteich-ballenstedt";"5-340-15";"Glockenteich Ballenstedt";"Teich";"review";"wide-standing-review";"448.2";"Neuer Teich";"3";"0";"356.2";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"5-340-16-flottenteich-weddersleben";"5-340-16";"Flottenteich Weddersleben";"Teich";"review";"wide-standing-review";"674.6";"";"1";"0";"9999";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"5-340-18-kiessandtagebau-ditfurt-ii";"5-340-18";"Kiessandtagebau Ditfurt II";"Kiesgrube";"review";"wide-standing-review";"1111.9";"";"1";"0";"9999";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"5-340-19-petersstichel-thale";"5-340-19";"Petersstichel Thale";"See";"review";"wide-none";"";"";"0";"";"";"Auch im erweiterten ±800-m-Prüfbereich kein amtliches Gewässerobjekt gefunden."
"5-340-20-muhlgraben-thale-0-25";"5-340-20";"Mühlgraben Thale 0,25";"Fließgewässer";"review";"flow-review";"215.6";"";"4";"0";"11";"Fließgewässer bleibt ohne starkes zusätzliches Namenssignal im Review."
"5-340-22-schloteich-ballenstedt";"5-340-22";"Schloßteich Ballenstedt";"Teich";"review";"wide-standing-review";"448.2";"Neuer Teich";"3";"0";"356.2";"Erweiterte amtliche Suche liefert noch keine ausreichend eindeutige Zuordnung."
"5-450-02-groer-schachtteich-bei-wienrode";"5-450-02";"Großer Schachtteich bei Wienrode";"Teich";"review";"standing-review";"76.1";"Schachtteich";"3";"0.364";"42.3";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
"5-450-03-brockenstedter-muhle";"5-450-03";"Brockenstedter Mühle";"See";"review";"standing-review";"323.7";"";"1";"0";"9999";"Amtlicher Kandidat vorhanden, aber Eindeutigkeit für automatische Freigabe noch nicht ausreichend."
