"id";"lavNumber";"name";"district";"status";"latitude";"longitude";"confidence";"source";"method";"officialName";"note"
"2-220-11-kampierung-bei-havelberg";"2-220-11";"Kampierung bei Havelberg";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-220-12-groe-wiesenschlenke-bei-havelberg";"2-220-12";"Große Wiesenschlenke bei Havelberg";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-220-13-hornings-bracke-bei-havelberg";"2-220-13";"Hornings Bracke bei Havelberg";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-220-14-kuhnsches-loch-bei-havelberg";"2-220-14";"Kühnsches Loch bei Havelberg";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-220-15-karpfenlocher-bei-havelberg";"2-220-15";"Karpfenlöcher bei Havelberg";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-220-18-elbe-km-428-431-rechtsseitig";"2-220-18";"Elbe km 428-431 rechtsseitig";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-220-20-garzer-see-in-havelberg";"2-220-20";"Garzer See in Havelberg";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-01-weidenwerder-bei-losenrade";"2-330-01";"Weidenwerder bei Losenrade";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-02-streitwerder-bei-losenrade";"2-330-02";"Streitwerder bei Losenrade";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-03-kuhweide-bei-losenrade";"2-330-03";"Kuhweide bei Losenrade";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-04-die-benahen-bei-losenrade";"2-330-04";"Die Benähen bei Losenrade";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-05-das-heisterrevier-bei-losenrade";"2-330-05";"Das Heisterrevier bei Losenrade";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-06-hinterdeichstucken-bei-loserade";"2-330-06";"Hinterdeichstücken bei Loserade";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-07-neuer-werder-bei-losenrade";"2-330-07";"Neuer Werder bei Losenrade";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-08-werder-bei-losenrade";"2-330-08";"Werder bei Losenrade";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-09-buschwerder-gansekuhle-bei";"2-330-09";"Buschwerder (Gänsekuhle) bei";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-10-groe-brack-beuster";"2-330-10";"Große Brack Beuster";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-11-alte-elbe-und-gansebrink";"2-330-11";"Alte Elbe und Gänsebrink";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-12-binnengewasser-links-der-elbe";"2-330-12";"Binnengewässer links der Elbe";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-13-schonberger-haken";"2-330-13";"Schönberger Haken";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-14-elbe-von-km-428-454-linksseitig";"2-330-14";"Elbe von km 428 - 454 linksseitig";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-15-gewasser-feldneuendorf-bei";"2-330-15";"Gewässer Feldneuendorf bei";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-16-flachspuhl-bei-erxleben";"2-330-16";"Flachspuhl bei Erxleben";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-17-kiesgruben-wolterslage";"2-330-17";"Kiesgruben Wolterslage";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-18-uchte-von-einmundung-des-land";"2-330-18";"Uchte von Einmündung des Land-";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-19-biese-und-aland-von-einmundung-des";"2-330-19";"Biese und Aland von Einmündung des";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-21-alter-elbarm-kuhlenwerder";"2-330-21";"Alter Elbarm Kühlenwerder";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-22-mittelsbruch-bei-losenrade";"2-330-22";"Mittelsbruch bei Losenrade";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-23-eisenbahnerbruch-bei-losenrade";"2-330-23";"Eisenbahnerbruch bei Losenrade";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-24-der-haken-am-hausberg-bei";"2-330-24";"Der Haken am Hausberg bei";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-25-schonberger-baggerloch";"2-330-25";"Schönberger Baggerloch";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-26-blauer-see-sandauerholz";"2-330-26";"Blauer See Sandauerholz";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-27-schonberger-bagerloch-ii";"2-330-27";"Schönberger Bagerloch II";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-28-baggerloch-wendemark";"2-330-28";"Baggerloch Wendemark";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-29-bodenentnahmestelle-losenrade-1";"2-330-29";"Bodenentnahmestelle Losenrade 1";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-30-bodenentnahmestelle-kruden";"2-330-30";"Bodenentnahmestelle Krüden";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-330-31-baggersee-feldneuendorf";"2-330-31";"Baggersee Feldneuendorf";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-332-01-milde-biese-von-einmundung-des";"2-332-01";"Milde/Biese von Einmündung des";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-334-01-bleichwehl-bei-werben-elbe";"2-334-01";"Bleichwehl bei Werben/Elbe";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-334-02-marschners-loch-bei-werben-elbe";"2-334-02";"Marschners Loch bei Werben/Elbe";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-334-03-wasserkuhle-langes-loch";"2-334-03";"Wasserkuhle Langes Loch";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-334-05-kiesgrube-schwimmbad-bei";"2-334-05";"Kiesgrube Schwimmbad bei";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-334-06-volkes-locher-in-rabel";"2-334-06";"Völkes Löcher in Räbel";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-420-01-kohnsee-kladen";"2-420-01";"Köhnsee Kläden";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-420-02-schludenlanke-elbnebengewasser";"2-420-02";"Schlüdenlanke (Elbnebengewässer)";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-420-03-schwanenteich-in-stendal";"2-420-03";"Schwanenteich in Stendal";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-420-04-stadtsee-in-stendal";"2-420-04";"Stadtsee in Stendal";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-420-05-kiesgrube-schernikau";"2-420-05";"Kiesgrube Schernikau";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-420-07-ziegeleiteich-charlottenhof-bei";"2-420-07";"Ziegeleiteich Charlottenhof bei";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-420-08-elbe-km-392-402-linksseitig";"2-420-08";"Elbe km 392 - 402 linksseitig";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-420-09-uchte-von-strae-tornau";"2-420-09";"Uchte von Straße Tornau-";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-420-10-dahlener-kiessee";"2-420-10";"Dahlener Kiessee";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-420-11-fieber-in-stendal";"2-420-11";"Fieber in Stendal";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-420-12-elbnebengewasser-bei-hamerten";"2-420-12";"Elbnebengewässer bei Hämerten";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-420-13-bauernwiehl-bei-fischbeck";"2-420-13";"Bauernwiehl bei Fischbeck";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-421-01-dollgraben";"2-421-01";"Dollgraben";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-421-02-schloteich-briest";"2-421-02";"Schloßteich Briest";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-421-03-gr-und-kl-parkteich-in-tangerhutte";"2-421-03";"Gr. und Kl. Parkteich in Tangerhütte";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-421-05-bertinger-see";"2-421-05";"Bertinger See";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-421-06-ziegeleiteich-in-klein-schwarzlosen";"2-421-06";"Ziegeleiteich in Klein Schwarzlosen";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-421-07-lehmkuhle-in-cobbel";"2-421-07";"Lehmkuhle in Cobbel";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-421-08-kreutzkolk-in-uetz";"2-421-08";"Kreutzkolk in Uetz";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
"2-421-09-winkelwiesenteich-uchtdorf";"2-421-09";"Winkelwiesenteich Uchtdorf";"Stendal";"unmapped";"";"";"0";"none";"none";"";"Noch keine belastbare automatische Kartenposition vorhanden."
