"id";"lavNumber";"name";"type";"result";"query";"queryKind";"distanceM";"officialName";"candidateCount";"nameScore";"gapM";"reason"
"6-400-40-awg-seen-1-2-und-3-gommern-plotzky";"6-400-40";"AWG Seen 1, 2 und 3 Gommern-Plötzky";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-400-45-gotzenthiegraben";"6-400-45";"Götzenthiegraben";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-400-46-westufer-albertinensee";"6-400-46";"Westufer Albertinensee";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-402-04-kiesgrube-barby-sud";"6-402-04";"Kiesgrube Barby-Süd";"Kiesgrube";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-410-02-warmsdorfer-teich";"6-410-02";"Warmsdorfer Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-410-22-regenruckhaltebecken-am";"6-410-22";"Regenrückhaltebecken am";"See";"review";"Regenrückhaltebecken am";"water-name";"872.7";"";"1";"0.000";"9999.0";"v12 fand über 'Regenrückhaltebecken am' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"6-410-24-loderburger-weiher";"6-410-24";"Löderburger Weiher";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-411-02-loderburger-see";"6-411-02";"Löderburger See";"See";"review";"Löderburger See";"water-name";"160.0";"Löderburger See";"4";"1.000";"726.8";"v12 fand über 'Löderburger See' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"6-411-04-athenslebener-seen-lsg-beachten";"6-411-04";"Athenslebener Seen – LSG beachten";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-120-19-lober-leine-kanal";"7-120-19";"Lober-Leine-Kanal";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-121-01-vergimeinnicht-postgrube";"7-121-01";"Vergißmeinnicht (Postgrube)";"Kiesgrube";"review";"Vergißmeinnicht";"water-name";"40.1";"";"1";"0.000";"9999.0";"v12 fand über 'Vergißmeinnicht' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"7-273-20-teich-in-weddershausen";"7-273-20";"Teich in Weddershausen";"Teich";"review";"Teich";"water-name";"9.8";"";"2";"0.000";"785.4";"v12 fand über 'Teich' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"7-275-09-entfallt";"7-275-09";"entfällt";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-275-18-maxdorfer-teich";"7-275-18";"Maxdorfer Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-490-06-bonscher-teich";"7-490-06";"Bonscher Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-491-01-godnitzer-see";"7-491-01";"Gödnitzer See";"See";"review";"Gödnitzer See";"water-name";"44.0";"Gödnitzer See";"3";"1.000";"835.4";"v12 fand über 'Gödnitzer See' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"8-181-04-tagebaurestloch-golpa-ii-gurke";"8-181-04";"Tagebaurestloch Golpa II (Gurke)";"Kiesgrube";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"8-182-02-mohlauer-see";"8-182-02";"Möhlauer See";"See";"matched";"Möhlauer See";"water-name";"7.3";"Möhlauer See";"5";"1.000";"122.3";"v12 bestätigt über Suchphrase 'Möhlauer See' + amtliches HY-P."
"8-183-02-elbe-von-km-244-5-km-248-3-linksseitig-a-bl-h-pl-z-w-q-52-00";"8-183-02";"Elbe von km 244, 5 - km 248, 3 linksseitig A, Bl, H, Pl, Z, W, Q 52,00";"Fließgewässer";"review";"Elbe";"water-name";"17.1";"";"9";"0.000";"120.8";"v12 fand über 'Elbe' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"8-183-03-rehsener-see";"8-183-03";"Rehsener See";"See";"matched";"Rehsener See";"water-name";"25.4";"Rehsener See";"7";"1.000";"179.7";"v12 bestätigt über Suchphrase 'Rehsener See' + amtliches HY-P."
"8-184-03-bergwitzsee";"8-184-03";"Bergwitzsee";"See";"review";"Bergwitzsee";"water-name";"70.2";"Bergwitzsee";"2";"1.000";"526.5";"v12 fand über 'Bergwitzsee' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"8-251-03-elbe-km-168-2-km-182-0-rechtss";"8-251-03";"Elbe km 168, 2 - km 182, 0 rechtss.";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"8-460-27-kolk-in-den-krebshornwiesen";"8-460-27";"Kolk in den Krebshornwiesen";"See";"review";"Kolk";"water-name";"26.6";"Kolk";"10";"0.148";"267.9";"v12 fand über 'Kolk' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"8-460-38-fliegraben-vom-wachsdorfer";"8-460-38";"Fließgraben vom Wachsdorfer";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-150-02-monchsteich-hausbergteich-bischofrode-a-k-ro-s-0-50";"9-150-02";"Mönchsteich (Hausbergteich) Bischofrode A, K, Ro, S 0,50";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-150-12-kleinwasserspeicher-ziegelrode";"9-150-12";"Kleinwasserspeicher Ziegelrode";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-150-22-nonnental-hornurg";"9-150-22";"Nonnental Hornurg";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-230-05-mansfelder-teich";"9-230-05";"Mansfelder Teich";"Teich";"review";"Mansfelder Teich";"water-name";"61.2";"Mansfelder Teich";"1";"1.000";"9999.0";"v12 fand über 'Mansfelder Teich' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"9-230-07-wippertalsperre";"9-230-07";"Wippertalsperre";"See";"review";"Wippertalsperre";"water-name";"5.5";"Talsperre Wippra";"2";"0.000";"706.3";"v12 fand über 'Wippertalsperre' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"9-230-14-dorfteich-greifenhagen";"9-230-14";"Dorfteich Greifenhagen";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-351-02-fischteich-rothenschirmbach";"9-351-02";"Fischteich Rothenschirmbach";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-390-02-see-hackpuffel";"9-390-02";"See Hackpüffel";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-390-09-entfallt";"9-390-09";"entfällt";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-390-25-teich-in-beyernaumburg-othal";"9-390-25";"Teich in Beyernaumburg/Othal";"Teich";"review";"Teich";"water-name";"9.8";"";"2";"0.000";"785.4";"v12 fand über 'Teich' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"9-390-29-alte-kiesgrube-katarienenrieth";"9-390-29";"Alte Kiesgrube Katarienenrieth";"Kiesgrube";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-210-08-wallendorfer-see-aktuelle";"10-210-08";"Wallendorfer See - Aktuelle";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-290-13-saale-leipzig-kanal";"10-290-13";"Saale-Leipzig-Kanal";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-290-28-vorderer-und-hinterer-gotthardsteich";"10-290-28";"Vorderer und Hinterer Gotthardsteich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-290-39-teich-1-witzschkersdorf";"10-290-39";"Teich 1 Witzschkersdorf";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-290-47-ranitzer-see-nordteil";"10-290-47";"Raßnitzer See (Nordteil)";"See";"review";"Raßnitzer See";"water-name";"550.3";"Raßnitzer See";"1";"0.609";"9999.0";"v12 fand über 'Raßnitzer See' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"10-290-52-geiseltalsee-teilflache";"10-290-52";"Geiseltalsee (Teilfläche)";"See";"review";"Geiseltalsee";"water-name";"604.8";"Geiseltalsee";"2";"0.522";"125.4";"v12 fand über 'Geiseltalsee' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"10-351-01-froschteich-farnstadt";"10-351-01";"Froschteich Farnstädt";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-351-02-hofeteich-farnstadt";"10-351-02";"Hofeteich Farnstädt";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-352-01-naturstrandbad-bei-obhausen-kopie-vom-a-bl-h-k-pl-ro-s-z-20-00-fs-und-fes-sichtbar-im-auto-auslegen";"10-352-01";"Naturstrandbad bei Obhausen Kopie vom A, Bl, H, K, Pl, Ro,S, Z 20,00 FS und FES sichtbar im Auto auslegen";"See";"review";"Naturstrandbad";"water-name";"3.7";"";"4";"0.000";"45.0";"v12 fand über 'Naturstrandbad' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"10-370-20-saalealtarm-dobis-nsg-beachten";"10-370-20";"Saalealtarm Dobis – NSG beachten-";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"11-241-05-an-der-einheit-bei-grimma";"11-241-05";"An der Einheit bei Grimma";"See";"review";"An der Einheit";"water-name";"279.7";"";"4";"0.000";"50.7";"v12 fand über 'An der Einheit' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"11-441-01-meuchener-teich";"11-441-01";"Meuchener Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"11-443-02-alte-saale-tebnitz-nsg-beachten";"11-443-02";"Alte Saale Tebnitz – NSG beachten!";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"11-480-01-rohmsdorfer-teich";"11-480-01";"Rohmsdorfer Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"11-480-04-weie-elster-im-kreisgebiet";"11-480-04";"Weiße Elster im Kreisgebiet";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"11-480-07-weickelsdorfer-teich";"11-480-07";"Weickelsdorfer Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"11-480-17-elstermuhlgraben";"11-480-17";"Elstermühlgraben";"Fließgewässer";"review";"Elstermühlgraben";"water-name";"4.4";"";"29";"0.000";"122.3";"v12 fand über 'Elstermühlgraben' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"11-480-19-teich-in-altgroitzschen";"11-480-19";"Teich in Altgroitzschen";"Teich";"review";"Teich";"water-name";"9.8";"";"2";"0.000";"785.4";"v12 fand über 'Teich' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"11-482-03-muhlgraben-gobitz-ostrau";"11-482-03";"Mühlgraben Göbitz-Ostrau";"Fließgewässer";"review";"Mühlgraben Göbitz-Ostrau";"water-name";"1.7";"";"35";"0.000";"467.1";"v12 fand über 'Mühlgraben Göbitz-Ostrau' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"12-140-02-diepold";"12-140-02";"Diepold";"See";"matched";"Diepold";"water-name";"11.2";"Diepold";"7";"1.000";"726.4";"v12 bestätigt über Suchphrase 'Diepold' + amtliches HY-P."
"12-140-03-lorkteich-goer-lork";"12-140-03";"Lorkteich (Goßer Lork)";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"12-140-06-wallwitzsee-im-beckerbruch-sudseite-a-bl-h-k-pl-ro-z-4-00";"12-140-06";"Wallwitzsee im Beckerbruch –Südseite- A, Bl, H, K, Pl, Ro, Z 4,00";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"12-140-12-zoberbergsee-2-inkl-kleiner-see";"12-140-12";"Zoberbergsee 2 inkl. „Kleiner See“,";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"12-183-01-sollnitzer-see";"12-183-01";"Sollnitzer See";"See";"review";"Sollnitzer See";"water-name";"66.5";"Sollnitzer See";"8";"1.000";"277.8";"v12 fand über 'Sollnitzer See' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"13-280-02-mittellandkanal-toter-arm";"13-280-02";"Mittellandkanal (Toter Arm)";"Fließgewässer";"review";"Mittellandkanal";"water-name";"13.3";"";"19";"0.000";"70.4";"v12 fand über 'Mittellandkanal' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"13-280-04-handelshafen-magdeburg";"13-280-04";"Handelshafen Magdeburg";"See";"review";"Handelshafen Magdeburg";"water-name";"18.1";"";"4";"0.000";"756.6";"v12 fand über 'Handelshafen Magdeburg' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"13-280-05-industriehafen-magdeburg";"13-280-05";"Industriehafen Magdeburg";"See";"review";"Industriehafen Magdeburg";"water-name";"27.7";"";"4";"0.000";"973.9";"v12 fand über 'Industriehafen Magdeburg' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"13-280-06-fermersleber-see-salbker-see-ii";"13-280-06";"Fermersleber See (Salbker See II)";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"13-280-10-2-baggerlocher-waldseen";"13-280-10";"2 Baggerlöcher (Waldseen)";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"13-280-11-dr-gotz-teich";"13-280-11";"Dr.-Götz-Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"13-280-19-zipkeleber-see";"13-280-19";"Zipkeleber See";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"13-280-26-frankenfelder-teich";"13-280-26";"Frankenfelder Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"13-280-27-kommandantenteiche";"13-280-27";"Kommandantenteiche";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"13-280-28-schleusenkanal-ehem-doppelschleuse";"13-280-28";"Schleusenkanal ehem. Doppelschleuse";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"13-280-35-der-placken-kuhlenhagen";"13-280-35";"Der Placken (Kuhlenhagen)";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"14-210-04-groer-angersdorfer-teich";"14-210-04";"Großer Angersdorfer Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"14-210-05-kleiner-angersdorfer-teich";"14-210-05";"Kleiner Angersdorfer Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"14-210-08-osendorfer-see";"14-210-08";"Osendorfer See";"See";"review";"Osendorfer See";"water-name";"69.8";"Osendorfer See";"6";"1.000";"343.7";"v12 fand über 'Osendorfer See' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"14-210-15-pulverweidenteich";"14-210-15";"Pulverweidenteich";"Teich";"review";"Pulverweidenteich";"water-name";"3.7";"Teich auf den Pulverweiden";"3";"0.000";"768.3";"v12 fand über 'Pulverweidenteich' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
"14-210-21-reide-von-braschwitz-zoberitz";"14-210-21";"Reide von Braschwitz-Zöberitz";"See";"review";"Reide";"water-name";"89.9";"Großer Mühlteich";"7";"0.000";"226.8";"v12 fand über 'Reide' einen amtlichen Kandidaten; Evidenz reicht noch nicht für Freigabe."
