"id";"lavNumber";"name";"type";"result";"query";"queryKind";"distanceM";"officialName";"candidateCount";"nameScore";"gapM";"reason"
"4-173-01-bergzower-altkanal-vom-abzweig";"4-173-01";"Bergzower Altkanal vom Abzweig";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-280-01-umflutehle-von-einmundung-der";"4-280-01";"Umflutehle von Einmündung der";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"4-490-04-dornburger-see";"4-490-04";"Dornburger See";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-190-03-bode-vom-einlauf-des-goldbaches";"5-190-03";"Bode vom Einlauf des Goldbaches";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-190-06-groer-graben-vom-zusammenfluss";"5-190-06";"Großer Graben vom Zusammenfluss";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-340-09-bode-vom-einlauf-des-quarmbaches";"5-340-09";"Bode vom Einlauf des Quarmbaches";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"5-450-04-mulmker-parkteiche";"5-450-04";"Mulmker Parkteiche";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-100-01-bruchfeldsee-wilslebener-see";"6-100-01";"Bruchfeldsee (Wilslebener See)";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-111-12-alter-schacht-pauline-neugatersleben-h-k-ro-s-4-00";"6-111-12";"Alter Schacht „Pauline“ Neugatersleben H, K, Ro, S 4,00";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-400-03-jagerschacht-bei-glothe-brumby";"6-400-03";"Jägerschacht bei Glöthe-Brumby";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-400-40-awg-seen-1-2-und-3-gommern-plotzky";"6-400-40";"AWG Seen 1, 2 und 3 Gommern-Plötzky";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-400-45-gotzenthiegraben";"6-400-45";"Götzenthiegraben";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-400-46-westufer-albertinensee";"6-400-46";"Westufer Albertinensee";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-402-04-kiesgrube-barby-sud";"6-402-04";"Kiesgrube Barby-Süd";"Kiesgrube";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-410-02-warmsdorfer-teich";"6-410-02";"Warmsdorfer Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-410-24-loderburger-weiher";"6-410-24";"Löderburger Weiher";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"6-411-04-athenslebener-seen-lsg-beachten";"6-411-04";"Athenslebener Seen – LSG beachten";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-120-19-lober-leine-kanal";"7-120-19";"Lober-Leine-Kanal";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-275-09-entfallt";"7-275-09";"entfällt";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-275-18-maxdorfer-teich";"7-275-18";"Maxdorfer Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"7-490-06-bonscher-teich";"7-490-06";"Bonscher Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"8-181-04-tagebaurestloch-golpa-ii-gurke";"8-181-04";"Tagebaurestloch Golpa II (Gurke)";"Kiesgrube";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"8-251-03-elbe-km-168-2-km-182-0-rechtss";"8-251-03";"Elbe km 168, 2 - km 182, 0 rechtss.";"Fließgewässer";"review";"Elbe";"technical-trim";"16.0";"";"16";"0.000";"115.9";"v13-final fand über 'Elbe' einen amtlichen Kandidaten; bleibt Review."
"8-460-38-fliegraben-vom-wachsdorfer";"8-460-38";"Fließgraben vom Wachsdorfer";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-150-02-monchsteich-hausbergteich-bischofrode-a-k-ro-s-0-50";"9-150-02";"Mönchsteich (Hausbergteich) Bischofrode A, K, Ro, S 0,50";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-150-12-kleinwasserspeicher-ziegelrode";"9-150-12";"Kleinwasserspeicher Ziegelrode";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-150-22-nonnental-hornurg";"9-150-22";"Nonnental Hornurg";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-230-14-dorfteich-greifenhagen";"9-230-14";"Dorfteich Greifenhagen";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-351-02-fischteich-rothenschirmbach";"9-351-02";"Fischteich Rothenschirmbach";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-390-02-see-hackpuffel";"9-390-02";"See Hackpüffel";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-390-09-entfallt";"9-390-09";"entfällt";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"9-390-29-alte-kiesgrube-katarienenrieth";"9-390-29";"Alte Kiesgrube Katarienenrieth";"Kiesgrube";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-210-08-wallendorfer-see-aktuelle";"10-210-08";"Wallendorfer See - Aktuelle";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-290-13-saale-leipzig-kanal";"10-290-13";"Saale-Leipzig-Kanal";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-290-28-vorderer-und-hinterer-gotthardsteich";"10-290-28";"Vorderer und Hinterer Gotthardsteich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-290-39-teich-1-witzschkersdorf";"10-290-39";"Teich 1 Witzschkersdorf";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-351-01-froschteich-farnstadt";"10-351-01";"Froschteich Farnstädt";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-351-02-hofeteich-farnstadt";"10-351-02";"Hofeteich Farnstädt";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"10-370-20-saalealtarm-dobis-nsg-beachten";"10-370-20";"Saalealtarm Dobis – NSG beachten-";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"11-441-01-meuchener-teich";"11-441-01";"Meuchener Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"11-443-02-alte-saale-tebnitz-nsg-beachten";"11-443-02";"Alte Saale Tebnitz – NSG beachten!";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"11-480-01-rohmsdorfer-teich";"11-480-01";"Rohmsdorfer Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"11-480-04-weie-elster-im-kreisgebiet";"11-480-04";"Weiße Elster im Kreisgebiet";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"11-480-07-weickelsdorfer-teich";"11-480-07";"Weickelsdorfer Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"12-140-03-lorkteich-goer-lork";"12-140-03";"Lorkteich (Goßer Lork)";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"12-140-06-wallwitzsee-im-beckerbruch-sudseite-a-bl-h-k-pl-ro-z-4-00";"12-140-06";"Wallwitzsee im Beckerbruch –Südseite- A, Bl, H, K, Pl, Ro, Z 4,00";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"12-140-12-zoberbergsee-2-inkl-kleiner-see";"12-140-12";"Zoberbergsee 2 inkl. „Kleiner See“,";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"13-280-06-fermersleber-see-salbker-see-ii";"13-280-06";"Fermersleber See (Salbker See II)";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"13-280-10-2-baggerlocher-waldseen";"13-280-10";"2 Baggerlöcher (Waldseen)";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"13-280-11-dr-gotz-teich";"13-280-11";"Dr.-Götz-Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"13-280-19-zipkeleber-see";"13-280-19";"Zipkeleber See";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"13-280-26-frankenfelder-teich";"13-280-26";"Frankenfelder Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"13-280-27-kommandantenteiche";"13-280-27";"Kommandantenteiche";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"13-280-28-schleusenkanal-ehem-doppelschleuse";"13-280-28";"Schleusenkanal ehem. Doppelschleuse";"Fließgewässer";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"13-280-35-der-placken-kuhlenhagen";"13-280-35";"Der Placken (Kuhlenhagen)";"See";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"14-210-04-groer-angersdorfer-teich";"14-210-04";"Großer Angersdorfer Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
"14-210-05-kleiner-angersdorfer-teich";"14-210-05";"Kleiner Angersdorfer Teich";"Teich";"unmatched";"";"";"";"";"";"";"";"Kein OSM-v3-Kandidat vorhanden."
