lavNumber;catalogName;atlasName;featureId;latitude;longitude;geometryType;status;reason
1-260-14;Ohre in Steimke;Ohre in Steimke;v_gewaesser.fid-36945e2d_19febabadac_6c89;52.58;10.98;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
1-260-15;Ohre in Jahrstedt;Ohre in Jahrstedt;v_gewaesser.fid-36945e2d_19febabadac_6c8b;52.56;10.98;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
1-260-20;Untere Milde Cheinitz;Untere Milde Cheinitz;v_gewaesser.fid-36945e2d_19febabadac_69a5;52.7;11.27;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
1-260-22;Moorgraben Cheinitz/Brüchau;Moorgraben Cheinitz/Brüchau;v_gewaesser.fid-36945e2d_19febabadac_6d6c;52.7;11.23;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
1-380-13;Jeetze bei Dambeck;Jeetze bei Dambeck;v_gewaesser.fid-36945e2d_19febabadac_6d53;52.79;11.16;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
1-380-16;Kalter Graben bei Wallstawe;Kalter Graben bei Wallstawe bis Mündung in die Dumme;v_gewaesser.fid-36945e2d_19febabadac_6d55;52.8;11.0;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
1-381-01;Flöt- und Mühlgraben bei Mechau;Flöt- und Mühlgraben bei Mechau;v_gewaesser.fid-36945e2d_19febabadac_6c7a;52.86;11.36;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
2-160-02;Secantsgraben von Straßenbrücke;Secantsgraben von Straßenbrücke Lindstedt/Holzhausen bis Straßenbrücke Kalbe/Neuendorf am Damm;v_gewaesser.fid-36945e2d_19febabadac_69bd;52.61;11.48;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
2-220-10;Eichenschlenke bei Havelberg;Eichenschlenke bei Havelberg;v_gewaesser.fid-36945e2d_19febabadac_6a2f;52.82;12.04;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
2-220-11;Kampierung bei Havelberg;Kampierung bei Havelberg;v_gewaesser.fid-36945e2d_19febabadac_6c7f;52.82;12.04;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
2-220-12;Große Wiesenschlenke bei Havelberg;Große Wiesenschlenke bei Havelberg;v_gewaesser.fid-36945e2d_19febabadac_6c80;52.82;12.04;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
2-220-13;Hornings Bracke bei Havelberg;Hornings Bracke bei Havelberg;v_gewaesser.fid-36945e2d_19febabadac_6cf8;52.82;12.04;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
2-220-14;Kühnsches Loch bei Havelberg;Kühnsches Loch bei Havelberg;v_gewaesser.fid-36945e2d_19febabadac_6c7e;52.82;12.04;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
2-220-15;Karpfenlöcher bei Havelberg;Karpfenlöcher bei Havelberg;v_gewaesser.fid-36945e2d_19febabadac_6cf9;52.81;12.04;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
2-220-18;Elbe km 428-431 rechtsseitig;Elbe km 428-431 rechtsseitig;v_gewaesser.fid-36945e2d_19febabadac_69be;52.8755555;11.9855556;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
2-220-20;Garzer See in Havelberg;Garzer See in Havelberg;v_gewaesser.fid-36945e2d_19febabadac_6c57;52.75;12.21;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
2-330-11;Alte Elbe und Gänsebrink;Alte Elbe und Gänsebrink Berge/Sandauer Holz;v_gewaesser.fid-36945e2d_19febabadac_6a37;52.81;11.99;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
2-330-12;Binnengewässer links der Elbe;Binnengewässer links der Elbe bei Pappelhagen;v_gewaesser.fid-36945e2d_19febabadac_6c7c;52.95;11.81;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
2-330-14;Elbe von km 428 - 454 linksseitig;Elbe von km 428 - 454;v_gewaesser.fid-36945e2d_19febabadac_69bf;52.908;11.882;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
2-330-29;Bodenentnahmestelle Losenrade 1;Bodenentnahmestelle Losenrade 1;v_gewaesser.fid-36945e2d_19febabadac_6c73;52.96;11.77;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
2-330-30;Bodenentnahmestelle Krüden;Bodenentnahmestelle Krüden;v_gewaesser.fid-36945e2d_19febabadac_6c74;52.95;11.69;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
2-332-01;Milde/Biese von Einmündung des;Milde/Biese von Einmündung des Secantsgrabens (bei Butterhorst) bis Einmündung des Augrabens (b. Gladigau);v_gewaesser.fid-36945e2d_19febabadac_6d1f;52.73;11.52;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
2-334-01;Bleichwehl bei Werben/Elbe;Bleichwehl bei Werben/Elbe;v_gewaesser.fid-36945e2d_19febabadac_6a3d;52.86;12.0;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
2-334-02;Marschners Loch bei Werben/Elbe;Marschners Loch bei Werben/Elbe;v_gewaesser.fid-36945e2d_19febabadac_6a3e;52.87;12.0;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
2-420-08;Elbe km 392 - 402 linksseitig;Elbe km 392 - 402;v_gewaesser.fid-36945e2d_19febabadac_69c7;52.6238889;12.0061111;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
2-421-01;Dollgraben;Dollgraben;v_gewaesser.fid-36945e2d_19febabadac_69c8;52.45;11.79;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
2-421-11;Elbe km 372, 4 – km 378 linksseitig;Elbe km 372, 4 - km 378 linksseitig;v_gewaesser.fid-36945e2d_19febabadac_69ca;52.425;11.985;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
2-422-12;Elbe km 386-392 beidseitig, km 391-392;Elbe km 386-392 beidseitig;v_gewaesser.fid-36945e2d_19febabadac_69cb;52.5533333;11.9813333;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
3-200-08;Mühlenteich Bodendorf bei Süplingen;Mühlenteich Bodendorf bei Süplingen;v_gewaesser.fid-36945e2d_19febabadac_6a5b;52.29;11.29;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
3-200-13;Hofteich Bodendorf;Hofteich Bodendorf;v_gewaesser.fid-36945e2d_19febabadac_6a5c;52.29;11.29;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
3-200-33;Mittelllandkanal Bereich;Mittelllandkanal Bereich Haldensleben;v_gewaesser.fid-36945e2d_19febabadac_69d0;52.3213333;11.3606667;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
3-200-34;Ohre von Straßenbrücke Calvörde;Ohre von Straßenbrücke Calvörde bis Vahlsdorfer Brücke;v_gewaesser.fid-36945e2d_19febabadac_6dd2;52.3116667;11.4;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
3-261-01;Mittellandkanal Bereich Oebisfelde;Mittellandkanal Bereich Oebisfelde;v_gewaesser.fid-36945e2d_19febabadac_69d9;52.4448718;11.1184615;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
3-261-05;Landgraben bei Oebisfelde;Landgraben bei Oebisfelde;v_gewaesser.fid-36945e2d_19febabadac_69db;52.41;11.0;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
3-430-08;Bode von Einmündung des Mühl-;Bode von Einmündung des Mühlgrabens an der Bodebrücke Hadmersleben bis Wehr Egeln-Nord (Oberwasser);v_gewaesser.fid-36945e2d_19febabadac_69cd;51.99;11.38;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
3-470-06;Mittellandkanal Bereich Wolmirstedt;Mittellandkanal Bereich Wolmirstedt;v_gewaesser.fid-36945e2d_19febabadac_69dc;52.23;11.57;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
3-470-17;Ohre von Vahldorfer Brücke bis;Ohre von Vahldorfer Brücke bis Ortsgrenze Wolmirstedt;v_gewaesser.fid-36945e2d_19febabadac_69dd;52.26;11.55;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
3-470-26;Ohre von Wolmirstedt bis Elbmündung;Ohre von Wolmirstedt bis Elbmündung;v_gewaesser.fid-36945e2d_19febabadac_69de;52.2933333;11.7133333;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
3-470-27;Mittellandkanal km 320, 10 – 321, 10;Mittellandkanal km 320,10 – km 321,10;v_gewaesser.fid-36945e2d_19febabadac_69df;52.23;11.68;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
3-472-05;Ohre Stadgebiet Wolmirstedt;Ohre Stadgebiet Wolmirstedt;v_gewaesser.fid-36945e2d_19febabadac_6a98;52.25;11.62;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
4-130-01;Alte Elbe Lostau;Alte Elbe Lostau;v_gewaesser.fid-36945e2d_19febabadac_6a99;52.2066667;11.7266667;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
4-130-15;Elbe-Havel-Kanal km 326, 67- km 344;Elbe-Havel-Kanal km326, 67-km344;v_gewaesser.fid-36945e2d_19febabadac_69e0;52.2833333;11.8446667;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
4-130-18;Elbe km 334-350 beidseitig;Elbe km 334-350 beidseitig;v_gewaesser.fid-36945e2d_19febabadac_69e1;52.2690476;11.7380952;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
4-130-24;Niegripper Verbindungskanal;Niegripper Verbindungskanal von km 0, 95 - km 1, 60;v_gewaesser.fid-36945e2d_19febabadac_69e6;52.25;11.73;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
4-130-31;Alte Elbe bei Niegripp;Alte Elbe bei Niegripp;v_gewaesser.fid-36945e2d_19febabadac_6d6a;52.29;11.77;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
4-130-32;Niegripper Altkanal (Teilfläche);Niegripper Altkanal;v_gewaesser.fid-36945e2d_19febabadac_6a14;52.2733333;11.7933333;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
4-130-36;Mittellandkanal km 322,82 - km 324,46 A, Bl, K, Pl, Z 5,31 Nordufer;Mittellandkanal km 322,82-km 324,6 nur Nordufer;v_gewaesser.fid-36945e2d_19febabadac_6e46;52.2366667;11.7233333;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
4-170-01;Lehmkuhlengraben bei Parchen;Lehmkuhlengraben bei Parchen;v_gewaesser.fid-36945e2d_19febabadac_69e7;52.36;12.06;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
4-170-04;Mühlengraben bei Mützel;Mühlengraben bei Mützel;v_gewaesser.fid-36945e2d_19febabadac_69e8;52.39;12.17;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
4-170-08;Altenplatower-Altkanal;Altenplatower-Altkanal km 360 - km 361, 5;v_gewaesser.fid-36945e2d_19febabadac_69e9;52.42;12.13;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
4-170-09;Roßdorfer Altkanal km 0, 0 bis;Roßdorfer Altkanal km 0, 0 bis Brücke Dunkelforth (B1) am Nordufer;v_gewaesser.fid-36945e2d_19febabadac_69ea;52.42;12.2;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
4-170-12;Torschiffahrtskanal vom Wehr Mützel bis A, B, Bl, H, Pl, Qu 3,00 zur Mündung in den Fiener Haupvorfluter;Torschiffahrtskanal vom Wehr Mützel bis zur Mündung in den Fiener Haupvorfluter;v_gewaesser.fid-36945e2d_19febabadac_69ec;52.37;12.18;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
4-170-14;Hauptstremme vom Roßdorfer Altkanal A, B, Bl, H, Pl, S 8,00 bis zur Einmündung des Galmer Grabens;Hauptstremme vom Roßdorfer Altkanal bis zur Einmündung des Galmer Grabens;v_gewaesser.fid-36945e2d_19febabadac_69ed;52.48;12.25;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
4-170-15;Schlagenthiner Stremme vom Roßdorfer A, B, Bl, H, Pl, S 7,00 Altkanal bis zur Hauptstremme;Schlagenthiner Stremme vom Roßdorfer Altkanal bis zur Hauptstremme;v_gewaesser.fid-36945e2d_19febabadac_69ee;52.45;12.25;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
4-170-16;Elbe-Havel-Kanal von km 360 bis 364, 5 A, B, Bl, H, K, 71,92 (Brücke B1 Ortsausgang Genthin) und;Elbe-Havel-Kanal von km 360 bis 364, 5 (Brücke B1 Ortsausgang Genthin) und von km 365, 7 (Einmündung Neuer Graben) bis km 372, 8;v_gewaesser.fid-36945e2d_19febabadac_69ef;52.4;12.21;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
4-171-03;Mühlenlanke-Herrenseegraben bei Parey;Mühlenlanke-Herrenseegraben bei Parey;v_gewaesser.fid-36945e2d_19febabadac_6c83;52.37;11.96;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
4-171-05;Alte Elbe mit Tunnel und;Alte Elbe mit Tunnel und Königsdamm bei Parey;v_gewaesser.fid-36945e2d_19febabadac_6d31;52.38;11.95;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
4-171-12;Baggerelbe bei Derben;Baggerelbe bei Derben;v_gewaesser.fid-36945e2d_19febabadac_6dea;52.42;11.99;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
4-171-14;Stromelbe von km 372,4;Stromelbe von km 372, 4 bis km 378 bei Derben rechtsseitg;v_gewaesser.fid-36945e2d_19febabadac_69f1;52.435;11.995;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
4-171-15;Pareyer Verbindungskanal;Pareyer Verbindungskanal von km 0, 0, bis km 3, 54;v_gewaesser.fid-36945e2d_19febabadac_69ce;52.4033333;11.9733333;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
4-171-21;Erdegraben bei Parey;Erdegraben bei Parey;v_gewaesser.fid-36945e2d_19febabadac_69f5;52.4;11.95;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
4-171-26;Elbe-Havel-Kanal von km 344 bis km 353;Elbe-Havel-Kanal von km 344 bis km 353;v_gewaesser.fid-36945e2d_19febabadac_69d4;52.3666667;11.99;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
4-172-01;Elbe-Havel-Kanal von km 364,5;Elbe-Havel-Kanal von km 364, 5 (Brücke B1 Ortsausgang Genthin bis km 365, 7 (Einmündung Neuer Graben);v_gewaesser.fid-36945e2d_19febabadac_69f6;52.4033333;12.1933333;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
4-172-03;Roßdorfer Altkanal von;Roßdorfer Altkanal von Brücke Dunkelforth (B1) bis zur Einmündung in den EHK;v_gewaesser.fid-36945e2d_19febabadac_69f7;52.41;12.23;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
4-173-01;Bergzower Altkanal vom Abzweig;Bergzower Altkanal vom Abzweig H-Kanal km 355, 15 Südufer;v_gewaesser.fid-36945e2d_19febabadac_69f8;52.41;12.05;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
4-173-02;Elbe-Havel-Kanal von km 353 - km 360;Elbe-Havel-Kanal von km 353 bis km 360;v_gewaesser.fid-36945e2d_19febabadac_6d01;52.41;12.07;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
5-190-03;Bode vom Einlauf des Goldbaches;Bode vom Einlauf des Goldbaches bis Straßenbrücke Deesdorf;v_gewaesser.fid-36945e2d_19febabadac_69f9;51.91;11.18;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
5-190-06;Großer Graben vom Zusammenfluss;Großer Graben vom Zusammenfluss Schiffgraben und Aue bis zur Straßenbrücke zwischen Aderstedt und Gunsleben;v_gewaesser.fid-36945e2d_19febabadac_69fa;52.06;10.89;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
5-340-06;Hauptseegraben von Kreisgrenze;Hauptseegraben von Kreisgrenze Salzlandkreis bis Mündung in die Selke;v_gewaesser.fid-36945e2d_19febabadac_69fe;51.83;11.28;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
5-340-09;Bode vom Einlauf des Quarmbaches;Bode vom Einlauf des Quarmbaches bis zur Selkemündung bei Rodersdorf;v_gewaesser.fid-36945e2d_19febabadac_69fd;51.7966667;11.1633333;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
5-340-13;Selke von Kreisgrenze;Selke von Kreisgrenze Salzlandkreis bis Mündung in Bode;v_gewaesser.fid-36945e2d_19febabadac_69ff;51.85;11.25;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
5-340-20;Mühlgraben Thale 0,25;;;;;;UNMATCHED;keine offizielle Angelatlas-Verknüpfung
6-100-07;Hauptseegraben von Einmündung;Hauptseegraben von Einmündung des Grabens aus Wilsleben bis Tagebaurestloch Königsaue;v_gewaesser.fid-36945e2d_19febabadac_6e47;51.7966667;11.4;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
6-110-12;Saalealtarm zwischen Plötzkau;Saalealtarm zwischen Plötzkau und Großwirschleben;v_gewaesser.fid-36945e2d_19febabadac_6aea;51.74;11.7;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
6-110-13;Saalealtarm Aderstedt;Saalealtarm Aderstedt;v_gewaesser.fid-36945e2d_19febabadac_6ae7;51.78;11.7;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
6-110-14;Saale von Kreisgrenze Saalekreis bis;Saale im Altkreis Bernburg;v_gewaesser.fid-36945e2d_19febabadac_6af0;51.725;11.7283333;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
6-110-17;Saalealtarm Gnölbzig;Saalealtarm Gnölbzig;v_gewaesser.fid-36945e2d_19febabadac_6aed;51.6733333;11.7233333;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
6-110-18;Fuhne vom Viadukt bei Kleinwirschleben A, B, Bl, H, K, Pl, Ro 4,00 bis Mündung in die Saale;Fuhne vom Viadukt bei Kleinwirschleben bis Mündung in die Saale;v_gewaesser.fid-36945e2d_19febabadac_6a00;51.7766667;11.7766667;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
6-111-04;Bode vom Beginn des Mühlgrabens;Bode;v_gewaesser.fid-36945e2d_19febabadac_6d7a;51.83;11.73;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
6-111-05;Saalealtarm Nienburg;Saalealtarm Nienburg;v_gewaesser.fid-36945e2d_19febabadac_6afa;51.84;11.79;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
6-111-13;Saale von Einmündung der Fuhne bis;Saale von Fuhnemündung bis Ortslage Wispitz;v_gewaesser.fid-36945e2d_19febabadac_69f0;51.865;11.765;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
6-112-03;Saalealtarm Lesewitz bei Plötzkau;Saalealtarm Lesewitz bei Plötzkau;v_gewaesser.fid-36945e2d_19febabadac_6afb;51.75;11.7;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
6-400-20;Saale im Altkreis Schönebeck;Saale im Altkreis Schönebeck;v_gewaesser.fid-36945e2d_19febabadac_6a02;51.9088889;11.8244444;MultiPolygon;LOCKED;bereits vorhanden/bestätigt
6-400-22;Elbe von km 305 - km 320 beidseitig;Elbe von km 305-320 beidseitig;v_gewaesser.fid-36945e2d_19febabadac_6a03;52.0316667;11.735;MultiPolygon;REVIEW_BOUNDARY;Abschnittsgrenze muss aus offizieller Beschreibung bestimmt werden
6-400-24;Saalealtarm Tippelskirchen;Saalealtarm Tippelskirchen von km 22,2 - 23,3;v_gewaesser.fid-36945e2d_19febabadac_6b0d;51.89;11.78;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
6-400-30;Küchenpfuhl Elbenau;Küchenpfuhl Elbenau;v_gewaesser.fid-36945e2d_19febabadac_6c9f;52.04;11.76;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
6-400-33;Stilles Wasser Elbenau;Stilles Wasser Elbenau;v_gewaesser.fid-36945e2d_19febabadac_6c9e;52.05;11.75;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
6-400-35;Elbealtarm Grünewalde;Elbealtarm Grünewalde;v_gewaesser.fid-36945e2d_19febabadac_6b14;52.03;11.73;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
6-400-41;Salinekanal Schönebeck;Salinekanal Schönebeck;v_gewaesser.fid-36945e2d_19febabadac_6a01;52.02;11.75;MultiPolygon;AUTO_WHOLE_FEATURE;"keine explizite Teilstrecken-Grenze im Katalog; offizielles Feature kann vollständig verwendet werden"
